image size+1: 785
Enter no of threads:
0.308920 0.203556 0.408502 
old logloss: 0.000002 
start update

Enter iterations for each thread:
Delta Norm = 3.579194
Delta Norm = 2.198118
Delta Norm = 3.319326
Delta Norm = 3.073983
Delta Norm = 3.686375
Delta Norm = 4.370134
Delta Norm = 3.045762
Delta Norm = 4.205847
Delta Norm = 3.547652
Delta Norm = 3.545611
Delta Norm = 3.262360
Delta Norm = 2.124739
Delta Norm = 4.480869
Delta Norm = 0.280936
Delta Norm = 3.225254
Delta Norm = 3.685136
Delta Norm = 2.426648
Delta Norm = 0.378946
Delta Norm = 3.476979
Delta Norm = 3.304781
Delta Norm = 2.105603
Delta Norm = 3.334688
Delta Norm = 2.972449
Delta Norm = 3.538226
Delta Norm = 3.543301
Delta Norm = 2.341661
Delta Norm = 2.336637
Delta Norm = 3.518822
Delta Norm = 3.542254
Delta Norm = 3.062648
Delta Norm = 2.180332
Delta Norm = 3.183079
Delta Norm = 3.805883
Delta Norm = 3.038164
Delta Norm = 2.293577
Delta Norm = 3.376690
Delta Norm = 3.711136
Delta Norm = 3.569575
Delta Norm = 0.593581
Delta Norm = 2.716968
Delta Norm = 3.191787
Delta Norm = 3.038247
Delta Norm = 3.142065
Delta Norm = 3.682717
Delta Norm = 2.838917
Delta Norm = 2.336187
Delta Norm = 3.756216
Delta Norm = 2.911261
Delta Norm = 3.590981
Delta Norm = 3.350701
Delta Norm = 3.336305
Delta Norm = 3.900342
Delta Norm = 3.586768
Delta Norm = 3.389818
Delta Norm = 2.894580
Delta Norm = 3.267071
Delta Norm = 3.890949
Delta Norm = 3.575950
Delta Norm = 0.840482
Delta Norm = 3.610993
Delta Norm = 3.322340
Delta Norm = 3.386548
Delta Norm = 3.615055
Delta Norm = 3.481431
Delta Norm = 3.014964
Delta Norm = 3.429174
Delta Norm = 2.536246
Delta Norm = 1.210054
Delta Norm = 4.317142
Delta Norm = 3.635683
Delta Norm = 3.318215
Delta Norm = 2.016043
Delta Norm = 3.141136
Delta Norm = 2.762654
Delta Norm = 2.767424
Delta Norm = 4.088606
Delta Norm = 3.051179
Delta Norm = 3.411520
Delta Norm = 3.795266
Delta Norm = 2.790662
Delta Norm = 3.599568
Delta Norm = 3.785162
Delta Norm = 3.929708
Delta Norm = 2.439733
Delta Norm = 3.408210
Delta Norm = 1.595333
Delta Norm = 4.140934
Delta Norm = 3.270877
Delta Norm = 0.672368
Delta Norm = 3.310419
Delta Norm = 3.349404
Delta Norm = 3.479809
Delta Norm = 3.910798
Delta Norm = 2.513540
Delta Norm = 2.952011
Delta Norm = 0.866609
Delta Norm = 1.707602
Delta Norm = 1.306354
Delta Norm = 1.536343
Delta Norm = 3.129155
Delta Norm = 4.170351
Delta Norm = 0.479898
Delta Norm = 2.920322
Delta Norm = 4.038848
Delta Norm = 2.976216
Delta Norm = 3.276727
Delta Norm = 2.822034
Delta Norm = 4.107433
Delta Norm = 2.134171
Delta Norm = 3.591058
Delta Norm = 3.459787
Delta Norm = 1.740866
Delta Norm = 3.700844
Delta Norm = 2.817594
Delta Norm = 2.200890
Delta Norm = 3.333709
Delta Norm = 3.354756
Delta Norm = 3.643162
Delta Norm = 3.504546
Delta Norm = 1.168060
Delta Norm = 3.938822
Delta Norm = 1.948489
Delta Norm = 0.959853
Delta Norm = 2.033615
Delta Norm = 3.036056
Delta Norm = 3.168358
Delta Norm = 3.709491
Delta Norm = 3.061632
Delta Norm = 2.596681
Delta Norm = 3.985286
Delta Norm = 3.597875
Delta Norm = 2.359090
Delta Norm = 3.486176
Delta Norm = 2.768772
Delta Norm = 2.908288
Delta Norm = 2.562787
Delta Norm = 3.449154
Delta Norm = 3.681840
Delta Norm = 4.061263
Delta Norm = 3.394179
Delta Norm = 3.355228
Delta Norm = 3.878014
Delta Norm = 2.938874
Delta Norm = 3.370211
Delta Norm = 0.412429
Delta Norm = 3.261253
Delta Norm = 3.430190
Delta Norm = 1.130537
Delta Norm = 1.959158
Delta Norm = 2.071376
Delta Norm = 3.683155
Delta Norm = 3.487107
Delta Norm = 2.877025
Delta Norm = 4.033887
Delta Norm = 3.472318
Delta Norm = 2.221832
Delta Norm = 4.257190
Delta Norm = 2.549575
Delta Norm = 3.071676
Delta Norm = 2.663970
Delta Norm = 4.593160
Delta Norm = 3.177431
Delta Norm = 2.377068
Delta Norm = 3.262643
Delta Norm = 3.754839
Delta Norm = 3.854235
Delta Norm = 3.266699
Delta Norm = 3.172169
Delta Norm = 2.994377
Delta Norm = 3.274913
Delta Norm = 3.543906
Delta Norm = 2.656096
Delta Norm = 3.043474
Delta Norm = 0.563374
Delta Norm = 3.666079
Delta Norm = 3.300354
Delta Norm = 3.560908
Delta Norm = 4.153068
Delta Norm = 2.613334
Delta Norm = 2.680468
Delta Norm = 3.402517
Delta Norm = 2.701227
Delta Norm = 3.634221
Delta Norm = 3.458458
Delta Norm = 3.077594
Delta Norm = 2.814446
Delta Norm = 3.386123
Delta Norm = 3.719834
Delta Norm = 3.323376
Delta Norm = 2.608469
Delta Norm = 2.603701
Delta Norm = 3.790140
Delta Norm = 2.855817
Delta Norm = 3.503835
Delta Norm = 3.367414
Delta Norm = 2.842343
Delta Norm = 3.017220
Delta Norm = 3.888977
Delta Norm = 0.175849
Delta Norm = 3.686967
Delta Norm = 2.923563
Delta Norm = 2.924452
Delta Norm = 3.903161
Delta Norm = 0.978853
Delta Norm = 3.036171
Delta Norm = 2.325533
Delta Norm = 3.523728
Delta Norm = 3.078536
Delta Norm = 4.243153
Delta Norm = 2.854048
Delta Norm = 3.609457
Delta Norm = 3.963423
Delta Norm = 3.227398
Delta Norm = 4.239128
Delta Norm = 2.924779
Delta Norm = 3.092384
Delta Norm = 3.283892
Delta Norm = 3.143177
Delta Norm = 3.364452
Delta Norm = 2.269134
Delta Norm = 3.322548
Delta Norm = 3.592543
Delta Norm = 3.802836
Delta Norm = 3.761581
Delta Norm = 2.820338
Delta Norm = 2.861174
Delta Norm = 3.397956
Delta Norm = 2.939775
Delta Norm = 2.633955
Delta Norm = 3.302228
Delta Norm = 3.147227
Delta Norm = 3.824443
Delta Norm = 2.585529
Delta Norm = 3.872716
Delta Norm = 2.362406
Delta Norm = 3.479982
Delta Norm = 3.290038
Delta Norm = 3.996754
Delta Norm = 3.266065
Delta Norm = 2.829956
Delta Norm = 3.278348
Delta Norm = 3.731310
Delta Norm = 2.869890
Delta Norm = 3.967336
Delta Norm = 2.521251
Delta Norm = 3.053202
Delta Norm = 2.695441
Delta Norm = 3.384336
Delta Norm = 3.170270
Delta Norm = 2.909220
Delta Norm = 2.418812
Delta Norm = 3.309130
Delta Norm = 3.993972
Delta Norm = 3.708461
Delta Norm = 3.376197
Delta Norm = 2.813968
Delta Norm = 4.585982
Delta Norm = 3.521707
Delta Norm = 3.900600
Delta Norm = 2.899397
Delta Norm = 3.479108
Delta Norm = 3.204953
Delta Norm = 2.763000
Delta Norm = 3.645935
Delta Norm = 3.728859
Delta Norm = 1.061869
Delta Norm = 3.001970
Delta Norm = 3.572100
Delta Norm = 2.176432
Delta Norm = 4.128230
Delta Norm = 3.002397
Delta Norm = 1.851936
Delta Norm = 3.928718
Delta Norm = 3.515993
Delta Norm = 4.444268
Delta Norm = 3.153729
Delta Norm = 3.768473
Delta Norm = 2.839498
Delta Norm = 3.522622
Delta Norm = 0.294982
